,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
xgboost,0.9664429530201343,0.954248366013072,0.9798657718120806,0.9668874172185431,0.9962839511733705
random_forest,0.9697986577181208,0.9545454545454546,0.9865771812080537,0.9702970297029703,0.9949777037070402
MLP,0.9664429530201343,0.9602649006622517,0.9731543624161074,0.9666666666666668,0.9960136930768885
SVM,0.8557046979865772,0.8533333333333334,0.8590604026845637,0.8561872909698997,0.8557046979865772
logistic_regression,0.8590604026845637,0.8496732026143791,0.87248322147651,0.8609271523178809,0.9433584072789514
