,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
xgboost,0.9295302013422819,0.9210526315789473,0.9395973154362416,0.9302325581395349,0.9883113373271474
random_forest,0.9395973154362416,0.9337748344370861,0.9463087248322147,0.9400000000000001,0.9903157515427232
MLP,0.9328859060402684,0.9215686274509803,0.9463087248322147,0.9337748344370861,0.9873879554975001
SVM,0.8120805369127517,0.8604651162790697,0.7449664429530202,0.7985611510791367,0.8120805369127517
logistic_regression,0.7785234899328859,0.7985611510791367,0.7449664429530202,0.7708333333333334,0.8612675104725014
