,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
xgboost,0.9865771812080537,0.9801324503311258,0.9932885906040269,0.9866666666666667,0.999617134363317
random_forest,0.9899328859060402,0.9866666666666667,0.9932885906040269,0.9899665551839465,0.9996396558713572
MLP,0.9899328859060402,0.9866666666666667,0.9932885906040269,0.9899665551839465,0.9997297419035179
SVM,0.9362416107382551,0.9166666666666666,0.959731543624161,0.9377049180327869,0.936241610738255
logistic_regression,0.9765100671140939,0.9671052631578947,0.9865771812080537,0.9767441860465117,0.9988964461060313
