,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
xgboost,0.9865771812080537,0.9801324503311258,0.9932885906040269,0.9866666666666667,0.9996171343633169
random_forest,0.9899328859060402,0.9932432432432432,0.9865771812080537,0.9898989898989898,0.999594612855277
MLP,0.9899328859060402,0.9866666666666667,0.9932885906040269,0.9899665551839465,0.9997297419035178
SVM,0.9429530201342282,0.9285714285714286,0.959731543624161,0.9438943894389439,0.9429530201342281
logistic_regression,0.9765100671140939,0.9671052631578947,0.9865771812080537,0.9767441860465117,0.9988514030899509
